Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Training Stress Score®,Steps,Body Battery Drain,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2025-11-08 13:34:49,false,"Fairfax County Running","1.09","103","00:07:52.9","158","176","159","178","7:13","6:14","22","46","1.40","0.0","1,258","-1","No","00:00:35.1","2","00:07:51.8","00:07:52.9","339","394"
Running,2025-11-08 13:30:36,false,"Fairfax County Running","0.34","31","00:02:31.4","144","156","156","169","7:28","6:40","--","12","1.38","0.0","398","--","No","00:02:31.4","1","00:02:31.4","00:02:31.4","363","379"
Running,2025-11-08 13:22:09,false,"Fairfax County Running","1.01","73","00:06:04.1","145","156","171","250","6:02","4:49","34","35","1.57","0.0","1,028","-2","No","00:00:01.5","2","00:06:03.6","00:06:04.1","316","362"
Running,2025-11-06 11:54:36,false,"Fairfax County Running","3.67","344","00:26:38","157","171","161","190","7:16","5:03","135","154","1.38","0.0","4,284","-9","No","00:04:35.6","4","00:26:36","00:26:38","313","394"
Running,2025-11-05 10:23:42,false,"Fairfax County Running","3.39","307","00:24:22","150","178","162","217","7:11","4:38","112","122","1.38","0.0","3,930","-10","No","00:02:38.6","4","00:24:20","00:24:22","318","394"
Running,2025-11-01 10:50:22,false,"Fairfax County Running","3.18","297","00:22:41","159","175","162","193","7:09","5:22","99","99","1.39","0.0","3,676","-7","No","00:01:07.7","4","00:22:40","00:22:41","312","394"
Running,2025-10-29 12:12:40,false,"Fairfax County Running","3.52","334","00:25:38","158","174","162","231","7:16","4:08","143","146","1.37","0.0","4,134","-7","No","00:03:37.1","4","00:25:37","00:25:38","305","394"
Running,2025-10-27 13:05:04,false,"Fairfax County Running","3.58","317","00:25:54","145","175","162","242","7:14","6:07","141","157","1.38","0.0","4,178","-6","No","00:04:04.8","4","00:25:53","00:25:54","305","394"
Running,2025-10-25 12:28:15,false,"Fairfax County Running","6.26","575","00:45:22","153","172","162","179","7:15","5:57","249","253","1.37","0.0","7,338","-12","No","00:01:40.4","7","00:45:19","00:45:22","305","394"
Running,2025-10-23 11:44:41,false,"Fairfax County Running","0.28","22","00:01:49.9","147","158","167","187","6:38","5:38","53","--","1.46","0.0","304","--","No","00:01:49.9","1","00:01:49.9","00:01:49.9","305","358"
Running,2025-10-23 11:20:46,false,"Fairfax County Running","3.16","294","00:21:54","164","173","164","233","6:56","5:43","96","113","1.41","0.0","3,588","-5","No","00:00:59.2","4","00:21:53","00:21:54","306","394"
Running,2025-10-22 10:47:06,false,"Fairfax County Running","4.58","441","00:33:17","161","178","162","193","7:16","5:26","193","194","1.37","0.0","5,354","-12","No","00:04:11.5","5","00:33:15","00:33:17","305","394"
Running,2025-10-20 10:18:42,false,"Fairfax County Running","3.66","338","00:26:14","155","174","162","192","7:10","4:44","136","151","1.39","0.0","4,250","-8","No","00:04:31.3","4","00:26:14","00:26:14","312","394"
Running,2025-10-17 11:19:01,false,"Fairfax County Running","3.54","320","00:25:18","152","173","164","188","7:09","5:27","156","163","1.37","0.0","4,138","-7","No","00:03:44.1","4","00:25:17","00:25:18","305","394"
Running,2025-10-16 10:08:38,false,"Fairfax County Running","3.16","293","00:22:24","160","171","164","200","7:06","5:59","108","125","1.38","0.0","3,672","-8","No","00:01:01.3","4","00:22:23","00:22:24","312","394"
Running,2025-10-14 09:34:20,false,"Fairfax County Running","3.55","335","00:26:13","157","175","162","194","7:23","4:59","149","149","1.35","0.0","4,246","-6","No","00:03:52.6","4","00:26:12","00:26:13","305","394"
Running,2025-10-12 13:32:11,false,"Fairfax County Running","0.77","72","00:05:26.4","162","175","165","187","7:01","5:49","55","21","1.39","0.0","894","-2","No","00:05:26.4","1","00:05:26","00:05:26.4","305","358"
Walking,2025-10-12 13:30:47,false,"Fairfax County Walking","0.04","7","00:00:37.2","144","159","115","132","16:44","6:57","--","--","0.84","0.0","72","--","No","00:00:37.2","1","00:00:37","00:00:37.2","307","311"
Running,2025-10-12 13:07:19,false,"Fairfax County Running","3.16","290","00:22:55","154","173","161","187","7:15","5:55","114","147","1.37","0.0","3,698","-6","No","00:01:00.6","4","00:22:47","00:22:55","318","394"
Running,2025-10-11 12:04:58,false,"Fairfax County Running","3.57","312","00:26:06","144","173","160","179","7:19","6:08","130","149","1.37","0.0","4,216","-6","No","00:04:00.0","4","00:26:05","00:26:06","304","394"
Running,2025-10-09 10:34:11,false,"Fairfax County Running","3.68","320","00:26:41","148","168","164","196","7:15","5:15","128","137","1.36","0.0","4,346","-7","No","00:04:48.3","4","00:26:39","00:26:41","312","394"
Running,2025-10-08 08:45:00,false,"Fairfax County Running","3.79","379","00:27:30","159","165","--","--","7:15","6:25","--","--","--","0.0","--","--","No","00:27:30","1","--:--:--","00:27:30","--","--"
Walking,2025-10-06 10:31:51,false,"Fairfax County Walking","0.13","27","00:02:21.7","144","166","105","167","17:39","11:25","18","--","0.87","0.0","276","-1","No","00:02:21.7","1","00:02:21.7","00:02:21.7","339","358"
Running,2025-10-06 10:30:57,false,"Fairfax County Running","0.11","9","00:00:44.0","147","152","145","171","6:54","5:54","30","--","1.61","0.0","146","--","No","00:00:44.0","1","00:00:44.0","00:00:44.0","307","337"
Walking,2025-10-06 10:29:29,false,"Fairfax County Walking","0.09","16","00:01:15.2","155","173","123","168","14:38","9:41","--","22","0.89","0.0","156","--","No","00:01:15.2","1","00:01:15","00:01:15.2","304","327"
Running,2025-10-06 10:06:35,false,"Fairfax County Running","3.17","297","00:22:22","165","182","164","234","7:03","5:48","92","115","1.39","0.0","3,654","-10","No","00:01:04.1","4","00:22:21","00:22:22","308","394"
